WALS-ID,ISO,Name,Glottocode,Family,Latitude,Longitude,Genus,Consonant Inventories,Vowel Quality Inventories,Consonant-Vowel Ratio,Voicing in Plosives and Fricatives,Voicing and Gaps in Plosive Systems,Uvular Consonants,Glottalized Consonants,Lateral Consonants,The Velar Nasal,Vowel Nasalization,Nasal Vowels in West Africa,Front Rounded Vowels,Syllable Structure,Tone,Fixed Stress Locations,Weight-Sensitive Stress,Weight Factors in Weight-Sensitive Stress Systems,Rhythm Types,Absence of Common Consonants,Presence of Uncommon Consonants,Fusion of Selected Inflectional Formatives,Exponence of Selected Inflectional Formatives,Exponence of Tense-Aspect-Mood Inflection,Inflectional Synthesis of the Verb,Locus of Marking in the Clause,Locus of Marking in Possessive Noun Phrases,Locus of Marking: Whole-language Typology,Zero Marking of A and P Arguments,Prefixing vs. Suffixing in Inflectional Morphology,Reduplication,Case Syncretism,Syncretism in Verbal Person/Number Marking,Number of Genders,Sex-based and Non-sex-based Gender Systems,Systems of Gender Assignment,Coding of Nominal Plurality,Occurrence of Nominal Plurality,Plurality in Independent Personal Pronouns,The Associative Plural,Definite Articles,Indefinite Articles,Inclusive/Exclusive Distinction in Independent Pronouns,Inclusive/Exclusive Forms in Pama-Nyungan,Inclusive/Exclusive Distinction in Verbal Inflection,Distance Contrasts in Demonstratives,Pronominal and Adnominal Demonstratives,Third Person Pronouns and Demonstratives,Gender Distinctions in Independent Personal Pronouns,Politeness Distinctions in Pronouns,Indefinite Pronouns,Intensifiers and Reflexive Pronouns,Person Marking on Adpositions,Number of Cases,Asymmetrical Case-Marking,Position of Case Affixes,Comitatives and Instrumentals,Ordinal Numerals,Distributive Numerals,Numeral Classifiers,Conjunctions and Universal Quantifiers,Position of Pronominal Possessive Affixes,Obligatory Possessive Inflection,Number of Possessive Nouns,Possessive Classification,"Genitives, Adjectives and Relative Clauses",Adjectives without Nouns,Action Nominal Constructions,Noun Phrase Conjunction,Nominal and Verbal Conjunction,Perfective/Imperfective Aspect,The Past Tense,The Future Tense,The Perfect,Position of Tense-Aspect Affixes,The Morphological Imperative,The Prohibitive,Imperative-Hortative Systems,The Optative,Situational Possibility,Epistemic Possibility,Overlap between Situational and Epistemic Modal Marking,Semantic Distinctions of Evidentiality,Coding of Evidentiality,Suppletion According to Tense and Aspect,Suppletion in Imperatives and Hortatives,Verbal Number and Suppletion,"Order of Subject, Object and Verb","Languages with two Dominant Orders of Subject, Object, and Verb",Order of Subject and Verb,Order of Object and Verb,"Order of Object, Oblique, and Verb",Order of Adposition and Noun Phrase,Order of Genitive and Noun,Order of Adjective and Noun,Order of Demonstrative and Noun,Order of Numeral and Noun,Order of Relative Clause and Noun,Prenominal relative clauses,Postnominal relative clauses,Internally-headed relative clauses,Correlative relative clauses,Adjoined relative clauses,Double-headed relative clauses,Order of Degree Word and Adjective,Position of Polar Question Particles,Position of Interrogative Phrases in Content Questions,Order of Adverbial Subordinator and Clause,Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,Relationship between the Order of Object and Verb and the Order of Adjective and Noun,Alignment of Case Marking of Full Noun Phrases,Alignment of Case Marking of Pronouns,Alignment of Verbal Person Marking,Expression of Pronominal Subjects,Verbal Person Marking,Third Person Zero of Verbal Person Marking,Order of Person Markers on the Verb,Ditransitive Constructions: The Verb 'Give',Reciprocal Constructions,Passive Constructions,Antipassive Constructions,Productivity of the Antipassive Construction,Applicative Constructions,Other Roles of Applied Objects,Periphrastic Causative Constructions,Nonperiphrastic Causative Constructions,Negative Morphemes,Symmetric and Asymmetric Standard Negation,Subtypes of Asymmetric Standard Negation,Negative Indefinite Pronouns and Predicate Negation,Polar Questions,Predicative Possession,Predicative Adjectives,Nominal and Locational Predication,Zero Copula for Predicate Nominals,Comparative Constructions,Relativization on Subjects,Relativization on Obliques,'Want' Complement Subjects,Purpose Clauses,'When' Clauses,Reason Clauses,Utterance Complement Clauses,Hand and Arm,Finger and Hand,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Numeral Bases,Number of Non-Derived Basic Colour Categories,Number of Basic Colour Categories,Green and Blue,Red and Yellow,M-T Pronouns,M in First Person Singular,N-M Pronouns,M in Second Person Singular,Tea,Irregular Negatives in Sign Languages,Question Particles in Sign Languages,Writing Systems,Para-Linguistic Usages of Clicks,Order of Negative Morpheme and Verb,Obligatory Double Negation,Optional Double Negation,Optional Triple Negation,Preverbal Negative Morphemes,Postverbal Negative Morphemes,Minor morphological means of signaling negation,"Position of Negative Word With Respect to Subject, Object, and Verb",Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Languages with different word order in negative clauses,The Position of Negative Morphemes in SVO Languages,Multiple Negative Constructions in SVO Languages,Obligatory Double Negation in SVO languages,Optional Double Negation in SVO languages,NegSVO Order,SNegVO Order,SVNegO Order,SVONeg Order,The Position of Negative Morphemes in SOV Languages,Multiple Negative Constructions in SOV Languages,Obligatory Double Negation in SOV languages,Optional Double Negation in SOV languages,NegSOV Order,SNegOV Order,SONegV Order,SOVNeg Order,The Position of Negative Morphemes in Verb-Initial Languages,Double negation in verb-initial languages,Verb-Initial with Preverbal Negative,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Verb-Initial with Clause-Final Negative,The Position of Negative Morphemes in Object-Initial Languages
mir,mep,Miriwung,miri1266,Jarrakan,-15.6666666667,129.0,Jarrakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case suffixes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No dominant order,,,,,,,,,,,,,,,,Other,,,,Subject affixes on verb,,,,,,,,,,,,,Negative particle,,,,Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NegV,,,,NegV,,,,,,,,,,,,,,,,,,,,,,,,,,,
skk,sip,Sikkimese,sikk1242,Sino-Tibetan,27.8333333333,88.5,Bodic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little affixation,,,,,,,Plural word,,,,Definite word distinct from demonstrative,Indefinite word same as 'one',,,,,,,,,,,,,,Postpositional clitics,,,,,,No possessive affixes,,,,,,,,,,,,,No tense-aspect inflection,,,,,,,,,,,,,,,SV,OV,,Postpositions,Genitive-Noun,Noun-Adjective,Mixed,Noun-Numeral,Relative clause-Noun,Relative clause-Noun (RelN) dominant,,,,,,Degree word-Adjective,Final,Not initial interrogative phrase,Final subordinator word,OV and Postpositions,OV and RelN,OV and NAdj,,,,,,,,,,,,,,,,,"Negative word, unclear if verb or particle",,,,Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VNeg,,,,,VNeg,,Other,Immed postverbal,,,,,,,,,,SV&OV&VNeg,,,,,,,,,,,,,
tru,tpy,Trumai,trum1247,Trumai,-11.9166666667,-53.5833333333,Trumai,Average,Average (5-6),Average,In plosives alone,Other,,Ejectives only,/l/ and lateral obstruent,No velar nasal,Contrast absent,,,Moderately complex,No tones,Ultimate,Fixed stress (no weight-sensitivity),No weight,,All present,,Isolating/concatenative,Monoexponential case,monoexponential TAM,8-9 categories per word,Dependent marking,Dependent marking,Dependent-marking,Non-zero marking,Strongly suffixing,Productive full and partial reduplication,No syncretism,No subject person/number marking,,,,Plural word,"Only human nouns, obligatory",Person stem + nominal plural affix,,,,'We' the same as 'I',,No person marking,Two-way contrast,Identical,Related by gender markers,3rd person singular only,,Generic-noun-based,Identical,No person marking,5 cases,Symmetrical,Case suffixes,Differentiation,,,,,Prefixes and suffixes,Absent,One,Three to five classes,,,No action nominals,,Differentiation,,,,,Tense-aspect suffixes,No second-person imperatives,Special imperative + normal negative,,Inflectional optative absent,Verbal constructions,Affixes on verbs,No overlap,Indirect only,Separate particle,,None (= no suppletive imperatives reported in the reference material),,No dominant order,SOV or SVO,SV,No dominant order,No dominant order,Postpositions,Genitive-Noun,No dominant order,Demonstrative-Noun,Numeral-Noun,,,,,,,,,,Initial interrogative phrase,Subordinating suffix,Other,Other,Other,Ergative - absolutive,Ergative - absolutive,Ergative,Obligatory pronouns in subject position,Only the P argument,No zero realization,A and P do not or do not both occur on the verb,Indirect-object construction,,Absent,,,,,,Compound but no morphological,Negative particle,Both,A/Cat,Predicate negation also present,,,,,,,,,Subject is left implicit,Balanced/deranked,Balanced/deranked,Balanced,Deranked,,,,,,,,,No M-T pronouns,No m in first person singular,No N-M pronouns,No m in second person singular,,,,,,VNeg,,,,,VNeg,,More than one position,Immed postverbal,,More than one construction,SVNegO/SOVNeg,,,No NegSVO,No SNegVO,Word&NoDoubleNeg,No SVONeg,More than one construction,SOVNeg/SVNegO,,,No NegSOV,No SNegOV,No SONegV,Word&NoDoubleNeg,,,,,,
wmn,wem,Wéménugbé,weme1239,Niger-Congo,6.66666666667,2.5,Tano,,,,,,,,,,Contrast present,two-way nasal vs. oral vowel contrast (/ṽ/ vs. /V/) without nasal spreading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssl,kvk,South Korean Sign Language,kore1273,other,37.0,128.0,Sign Languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Many (more than 5),More than one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnc,ncb,Nancowry,cent1990,Austro-Asiatic,8.05,93.5,Nicobarese,Moderately small,Large (7-14),Moderately low,No voicing contrast,Other,,No glottalized consonants,"/l/, no obstruent laterals",,,,,Moderately complex,No tones,,,,,All present,,,,,,,,,,,Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No possessive affixes,,,,,,,,,,,,,No tense-aspect inflection,,,,,,,,,,,,,No dominant order,VSO or VOS,VS,VO,,Prepositions,Noun-Genitive,Noun-Adjective,Demonstrative-Noun,,,,,,,,,Adjective-Degree word,Initial,,,VO and Prepositions,,VO and NAdj,,,,,,,,,,,,,,,,,,,,,Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mdl,zml,Matngele,madn1237,Eastern Daly,-13.8333333333,130.416666667,Eastern Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No tense-aspect inflection,,,,,,,,,,,,,SOV,,SV,OV,No dominant order,Postpositions,,Noun-Adjective,,Noun-Numeral,,,,,,,,,,Not initial interrogative phrase,,OV and Postpositions,,OV and NAdj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NegV,,,,NegV,,,Other,,,,,,,,,,,Other NegV,,,,,,,NoSOVNeg,,,,,,
chq,chq,Chinantec (Quiotepec),quio1240,Oto-Manguean,17.5833333333,-96.6666666667,Chinantecan,Moderately large,Large (7-14),Average,In fricatives alone,Other,,Glottalized resonants only,"/l/, no obstruent laterals",,Contrast present,,High and mid,Simple,Complex tone system,,,,,All present,'Th' sounds,,,,,,,,,Equal prefixing and suffixing,,,,,,,No plural,,,,,,,,,,,,,,,,,,,No case affixes or adpositional clitics,,,,,,Prefixes and suffixes,,,,,,,,,,,,,Mixed type,,,,,,,,,,,,,VSO,,VS,VO,,Prepositions,Noun-Genitive,Noun-Adjective,Mixed,Numeral-Noun,Noun-Relative clause,,Noun-Relative clause (NRel) dominant,,,,,No dominant order,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,,,,,,,,,,,,,,,,,,,,,Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NegV,,,,NegV,,,NegVSO,Immed preverbal,,,,,,,,,,,,,,,,,,NegVSO,,"Separate word, no double negation  Word&NoDoubleNeg",,No clause-final neg,
guh,ghs,Guhu-Samane,guhu1244,Trans-New Guinea,-8.0,147.333333333,Guhu-Samane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plural suffix,,,,,,,,,,,,,,,,,,,Case suffixes,,,,,,,,,,,,,,,,,,,Tense-aspect suffixes,,,,,,,,,,,,,SOV,,SV,OV,XOV,,,Noun-Adjective,,,,,,,,,,,Final,Not initial interrogative phrase,,,,OV and NAdj,,,,,,,,,,,,,,,,,Negative particle,,,,Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OptDoubleNeg,,NegV/[V-Neg]/Neg[V-Neg],,NegV,[V-Neg],,OptDoubleNeg,,,,,,,,,,,OptDoubleNeg,,,SOV & (Neg)[V(-Neg)],,,,Suffix&OptDoubleNeg,,,,,,
uru,ure,Uru,uruu1244,Uru-Chipaya,-16.75,-69.0,Uru-Chipaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case suffixes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV,OV,,,,No dominant order,Mixed,,,,,,,,,,,Not initial interrogative phrase,Subordinating suffix,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NegV,,,,NegV,,,Other,,,,,,,,,,,SV&OV&NegV,,,,,,,,,,,,,
