method,run,entropy_with_missing,entropy_without_missing,fvi,mpd,fvo,k
mdp,0,0.9876992669021447,0.5585160846418902,0.7985074626865671,0.741624892528306,0.47492476338806106,11
convenience,0,0.8224605246115507,0.5997295465165071,0.8805970149253731,0.5563055094127715,0.6832389344204718,11
mmdp,0,1.162414062186079,0.6375821585909266,0.8407960199004975,0.7189842290686562,0.476514790425548,11
random,0,1.235195649784974,0.6312294521659628,0.8855721393034826,0.5947614244216421,0.6422363733617954,11
random,1,1.181151844479008,0.623961773884307,0.8756218905472637,0.5979112972774129,0.6124868166279844,11
random,2,1.2437788691961282,0.6353064012098689,0.8830845771144279,0.5998266613573581,0.6224816474873246,11
random,3,1.1022324750654056,0.6295581931523996,0.8930348258706468,0.5768130393091063,0.6600173689089308,11
random,4,1.1544939352281676,0.6431110601765044,0.8980099502487562,0.5932893978176701,0.6210218539761544,11
random,5,1.1333899892319175,0.561869986845001,0.8606965174129353,0.5561794504791513,0.7072366177626997,11
random,6,1.0439238083490618,0.6648919954863072,0.917910447761194,0.5882571953192434,0.6536181160617528,11
random,7,1.1987446277778184,0.6468407259244144,0.9029850746268657,0.6034798285325098,0.628112743323349,11
random,8,1.093712313154508,0.5632266932424596,0.8532338308457711,0.5713443264830828,0.6570998023281519,11
random,9,1.1519387777825887,0.6440400375159818,0.9079601990049752,0.5998466640482271,0.6467834735915947,11
random_family,0,1.1075596814069566,0.6806581824858742,0.927860696517413,0.6018663464793714,0.6157858252601476,11
random_family,1,1.125090258461092,0.6231803310491082,0.8930348258706468,0.5690986133304361,0.6837495380872447,11
random_family,2,1.1928248867785276,0.5411220216469762,0.8333333333333334,0.5232779319322565,0.6607252507351089,11
random_family,3,1.1273355082447685,0.6555239417860803,0.9029850746268657,0.5847543894797269,0.6386274807200644,11
random_family,4,1.0918141604060665,0.6485237895592706,0.8980099502487562,0.5923888919090923,0.6516718133079429,11
random_family,5,1.0956658340257193,0.5695178068679655,0.8532338308457711,0.566712698751445,0.6743121387620058,11
random_family,6,1.141982587804305,0.6477055458148975,0.8955223880597015,0.5857018941659466,0.634582882186193,11
random_family,7,1.1390750513843333,0.6016239249984494,0.8532338308457711,0.5969520439320934,0.6480053103807498,11
random_family,8,1.1058919450200906,0.6091240573906127,0.8781094527363185,0.5640904151470599,0.6746818993072654,11
random_family,9,1.1806910429482749,0.6468612010866566,0.8930348258706468,0.6002563495811584,0.6519703196365265,11
random_genus,0,1.217629432860305,0.6629560373468203,0.8980099502487562,0.6191776613716339,0.6122735789690154,11
random_genus,1,1.148519232885481,0.6110916471090787,0.8756218905472637,0.572879869638527,0.6556671077189635,11
random_genus,2,1.1053297008478513,0.5803110847527045,0.8432835820895522,0.6039371965106759,0.641972188142672,11
random_genus,3,1.1479544309897094,0.670408116895592,0.9104477611940298,0.6191389550323014,0.5957534781849234,11
random_genus,4,1.1572446994947567,0.6517073956586754,0.8905472636815921,0.604731673976549,0.6366466196457239,11
random_genus,5,1.1803729852977285,0.5757029773155299,0.8482587064676617,0.5793044379272497,0.6522833600543866,11
random_genus,6,1.0696397377877263,0.6882038956937663,0.917910447761194,0.6014024529734481,0.6339015503197221,11
random_genus,7,1.180586911236141,0.683742861892964,0.9129353233830846,0.6197075906044597,0.5992097742013472,11
random_genus,8,1.1369749198339723,0.6327712691910214,0.8930348258706468,0.5911109095908512,0.6461239987775841,11
random_genus,9,1.153218733440516,0.6680968971249515,0.9154228855721394,0.5983078198697682,0.6358963004280155,11
