method,entropy_with_missing,entropy_without_missing,k
random,0.9998135815247524,0.4978224259249379,5
random,1.1530813848348207,0.6157197191897923,10
random_family,0.9281576153282094,0.5113568626793443,5
mdp,0.9143087919457882,0.33114003198284236,5
random_family,1.1179774795655741,0.6165836329701442,10
mmdp,0.8955270899037904,0.3330422221445369,5
mdp,0.9186575757079188,0.4352044304872678,10
random,1.1558151163911277,0.6565242562706104,15
mmdp,0.9858367695082118,0.5091652299152205,10
mdp,1.0762355944723103,0.5926932559649272,15
random_family,1.1918784584584095,0.6645301960656257,15
random,1.1879283779737149,0.6772452193453361,20
mmdp,1.2707057105182722,0.7421489682919679,15
mdp,1.1685243985806861,0.7132867823289897,20
mmdp,1.307502307995064,0.7782221189064762,20
random,1.2024286662903445,0.6920091649137546,25
random_family,1.2108214490109659,0.7001455615793633,20
random_genus,0.9650702003913494,0.49022891356682907,5
random_genus,1.1469988585322635,0.6320915173595456,10
mdp,1.2016928066314014,0.7559896816510691,25
random,1.2253387696838651,0.7023057641581258,30
random_family,1.2314261584255315,0.7027225427422309,25
mmdp,1.31198469016279,0.7805592049814305,25
random_genus,1.204619199244737,0.6805025007855122,15
random_family,1.2381634328048166,0.7008784083854911,30
random,1.2431158565680296,0.698311691211335,35
mdp,1.1808742234173535,0.7681516527307514,30
mmdp,1.3539967486634035,0.8065324295813027,30
mdp,1.2151601590050432,0.793873593734255,35
mmdp,1.3667318001494904,0.8160916268917392,35
random_genus,1.212265370593907,0.695132856010176,20
random,1.2406676716010085,0.7038725371553058,40
random_family,1.24663358151535,0.7090014398994285,35
random_genus,1.212441909011448,0.7113572110589435,25
random_family,1.2535262338400557,0.7150452240334118,40
random,1.2565293102084927,0.7098021662842212,45
mmdp,1.371509334401666,0.8224554315298267,40
mdp,1.2494807613028738,0.8065064969444273,40
random_genus,1.2345339340849089,0.7197137853768004,30
mdp,1.2891786860358538,0.8040827539144885,45
random,1.2675835405541218,0.7143945173943063,50
random_family,1.2506667302954142,0.7212505561554327,45
mmdp,1.367885423003976,0.8234641702057136,45
random_family,1.2720273258293842,0.7272320303966295,50
mmdp,1.3662631389682693,0.8261461183500395,50
random_genus,1.2578299319789203,0.7235009171150683,35
random,1.2729875852537664,0.7227702004390733,55
mdp,1.276688215047679,0.8037921920869083,50
random_genus,1.2704006653994568,0.7294593517195336,40
random_family,1.2756345734404881,0.7289062374728112,55
random,1.278490124895226,0.7254630037248508,60
mmdp,1.3713245329680173,0.8214224562221912,55
random_genus,1.2650673514933577,0.735546511414106,45
mdp,1.2844651668598537,0.8104955243460679,55
mmdp,1.371209757578256,0.8252747194242337,60
random_family,1.2760511302002329,0.7317256850422964,60
random,1.2701112399779044,0.7140875634098214,65
random_genus,1.2726152458330495,0.7405598979370472,50
mdp,1.2853100816630747,0.8163673014264624,60
random_family,1.2741161133058803,0.7303083841198352,65
random,1.2581436733675082,0.7135795912931251,70
random_genus,1.2714167354002905,0.7341095222444494,55
mmdp,1.3634308263955124,0.8225793616036648,65
random_family,1.2739068242692988,0.7306558527535232,70
mdp,1.2746067511413206,0.8152490132085836,65
random,1.261411518328822,0.7186750228398064,75
mmdp,1.3669744455234771,0.8244768730845664,70
