method,entropy,k
random,1.0130427753506848,5
random,1.0108087107509012,10
random_family,1.0100157761278195,5
random_family,1.0193145465146465,10
mdp,1.0087523893649426,5
random,1.0076453109752026,15
mmdp,1.01843387780539,5
mdp,1.035528434731683,10
mmdp,1.0677642034465191,10
random_family,1.0197859354639494,15
random,1.0140835896126847,20
mdp,1.050024232775398,15
mmdp,1.0867346142445697,15
mdp,1.07015245606433,20
mmdp,1.0884759773829409,20
random,1.0074236774388474,25
random_family,1.0165198680862302,20
random_genus,1.0280415037828234,10
random_family,1.0114368649835104,25
mdp,1.0715892347597074,25
random,1.004801545771476,30
random_genus,1.023479492345533,5
mmdp,1.0869582396459858,25
random_family,1.0080229868272155,30
random_genus,1.022110449644165,15
random,1.0080720497302678,35
mdp,1.0761817396633147,30
mmdp,1.0842196813150624,30
mdp,1.0885467104981743,35
random_family,1.0142980676780406,35
random,1.0138153691440808,40
random_genus,1.0233772137550243,20
mmdp,1.0865447261945445,35
random_family,1.013308005815397,40
random_genus,1.017903604092745,25
random,1.0118761850753524,45
mdp,1.0978434531756849,40
mmdp,1.0853535164915649,40
random_genus,1.0151567500666148,30
random_family,1.012377202877515,45
random,1.0070959946207894,50
mmdp,1.0849614352881187,45
mdp,1.1052327518875658,45
random_genus,1.011645566663109,35
random_family,1.0160871978234045,50
random,1.0138763264015391,55
mmdp,1.0816665121591296,50
random_genus,1.0179410049232285,40
mdp,1.1079518577588157,50
random_family,1.0129886083464705,55
random,1.015893308663245,60
mmdp,1.078160541692787,55
random_genus,1.0169629272646614,45
mdp,1.1129232211861613,55
random_family,1.0125369882616668,60
random,1.007690192692787,65
mmdp,1.0815989712013514,60
random_family,1.0152801343794036,65
random_genus,1.0121078588520336,50
mdp,1.1099961913831866,60
random,1.0050727141955829,70
mmdp,1.080920367981432,65
random_genus,1.01025497544769,55
random_family,1.016005304113704,70
mdp,1.1136125757648374,65
random,1.0056580374557051,75
mmdp,1.0857815340720325,70
random_genus,1.008695583925847,60
random_family,1.014374335629557,75
random_genus,1.016121178108722,65
random,1.0041350409932437,80
mdp,1.12146049200181,70
mmdp,1.0893696431487212,75
random_family,1.0146173886792758,80
random_genus,1.0190008447838987,70
random,1.0083567672608218,85
mdp,1.1202080028731705,75
mmdp,1.087315267930478,80
random_family,1.0218290284359408,85
mdp,1.1170279794918145,80
random,1.011469919855592,90
random_genus,1.012126561392498,75
mmdp,1.0859472140737116,85
random_genus,1.0074767561841576,80
random_family,1.0197714733785177,90
random,1.0095085323008663,95
mmdp,1.0841588040432213,90
mdp,1.1163912046872266,85
