name;glottocode
Akkadian;akka1240
Amharic;amha1245
Archaric Irish;oldi1245
Assamese;assa1263
Bengali;beng1280
Bhojpuri;bhoj1244
Cappadocian;capp1239
Classical Nahuatl;clas1250
Cuicatec;cuic1234
Cusco Quechua;cusc1236
Czech;czec1258
Danish;dani1285
Dargwa;darg1241
English;stan1293
French;stan1290
Frisian;west2354
Greek;mode1248
Gwichin;gwic1235
Hebrew;hebr1245
Hiligaynon;hili1240
Hindi;hind1269
Huave;huav1256
Kabyle;kaby1243
Kannada;nucl1305
Khoekhoe;khoe1242
Kiga;chig1238
Komi;komi1268
Korean;kore1280
Ladino;ladi1251
Laz;lazz1240
Magahi;maga1260
Mandyali;mand1409
Marathi;mara1378
Middle Irish;midd1360
Mongolian;halh1238
Ndengeleko;nden1248
Nepali;nepa1254
Nkore;nyan1307
Northwest Gbaya;nort2775
Occitan;occi1239
Odia;oriy1255
Old English;olde1238
Old Japanese;oldj1239
Palenquero;pale1260
Papiamento;papi1253
Pashto;cent1973
Persian;west2369
Pnar;pnar1238
Pontic;pont1253
Portuguese;port1283
Prakit;midd1350
Punjabi;lahn1241
Romansh;roma1326
Seri;seri1257
Shipibo Konibo;ship1254
Sindhi;sind1272
Sinhala;sinh1246
Somali;soma1255
Sorani;cent1972
Spanish English;
Swahili;swah1253
Thai;thai1261
Tigrinya;tigr1271
Tunisian Arabic;tuni1259
Turkish;nucl1301
Tuwari;tuwa1242
Uspanteko;uspa1245
Uzbek;nort2690
Western S.P. Nahuatl;west2814
