verses;avg_subwords;glottocode
verses/aau.txt;81.342;abau1245
verses/abt.txt;82.396;ambu1247
verses/aca.txt;70.713;acha1250
verses/ace.txt;70.829;achi1257
verses/ach.txt;46.569;acol1236
verses/acn.txt;60.978;acha1249
verses/acu.txt;65.523;achu1248
verses/adi.txt;47.619;bori1243
verses/adl.txt;61.952;galo1242
verses/agm.txt;127.388;anga1290
verses/agn.txt;58.027;agut1237
verses/agr.txt;59.45;agua1253
verses/agt.txt;62.842;cent2084
verses/ahk.txt;123.542;akha1245
verses/aia.txt;76.688;aros1241
verses/aji.txt;78.352;ajie1238
verses/ajz.txt;51.538;amri1238
verses/aln.txt;41.445;gheg1238
verses/aly.txt;82.224;alya1239
verses/ame.txt;118.933;yane1238
verses/amf.txt;53.679;hame1242
verses/amm.txt;76.564;amap1240
verses/amp.txt;76.674;alam1246
verses/amr.txt;86.857;amar1274
verses/amu.txt;91.541;guer1243
verses/aom.txt;91.813;omie1241
verses/apb.txt;78.964;saaa1240
verses/ape.txt;78.985;buki1249
verses/apn.txt;128.011;apin1244
verses/apr.txt;78.872;arop1243
verses/apt.txt;51.5;apat1240
verses/apu.txt;72.064;apur1254
verses/are.txt;66.022;west2441
verses/arn.txt;67.237;mapu1245
verses/atb.txt;79.278;zaiw1241
verses/atd.txt;76.757;atam1240
verses/avt.txt;76.59;auuu1241
verses/avu.txt;147.31;avok1242
verses/awb.txt;68.851;awap1236
verses/azz.txt;86.461;high1278
verses/bam.txt;56.216;bamb1269
verses/ban.txt;59.451;bali1278
verses/bbb.txt;71.344;nucl1630
verses/bbc.txt;46.384;bata1289
verses/bbr.txt;65.532;gira1247
verses/bch.txt;59.397;bari1286
verses/bcl.txt;46.521;cent2087
verses/bdh.txt;111.177;baka1274
verses/bem.txt;48.086;bemb1257
verses/beq.txt;50.907;beem1239
verses/bex.txt;76.792;jurm1239
verses/bfd.txt;101.226;bafu1246
verses/bgr.txt;55.42;bawm1236
verses/bgs.txt;63.674;taga1272
verses/bhg.txt;62.577;bina1277
verses/bhl.txt;93.657;bimi1240
verses/big.txt;85.361;bian1252
verses/bis.txt;70.32;bisl1239
verses/bkd.txt;50.931;binu1244
verses/bkv.txt;68.517;bekw1241
verses/blz.txt;64.539;bala1315
verses/bnp.txt;56.666;bola1250
verses/boa.txt;84.31;bora1263
verses/bon.txt;75.306;bine1240
verses/bqj.txt;56.051;band1340
verses/bqp.txt;59.2;busa1253
verses/bru.txt;79.826;east2332
verses/bsn.txt;101.32;bara1380
verses/bss.txt;85.092;akoo1248
verses/bth.txt;51.928;biat1246
verses/bug.txt;61.257;bugi1244
verses/buk.txt;74.413;buga1250
verses/bum.txt;53.243;bulu1251
verses/bvr.txt;111.812;bura1267
verses/bvz.txt;113.752;bauz1241
verses/byx.txt;79.132;qaqe1238
verses/bzd.txt;78.873;brib1243
verses/bzh.txt;65.701;mapo1242
verses/cab.txt;67.298;gari1256
verses/cac.txt;87.452;chuj1250
verses/cag.txt;73.52;niva1238
verses/cak.txt;82.901;kaqc1270
verses/cao.txt;70.733;chac1251
verses/caq.txt;63.595;carn1240
verses/car.txt;65.475;gali1262
verses/cat.txt;39.423;stan1289
verses/cav.txt;86.417;cavi1250
verses/cax.txt;67.142;chiq1248
verses/cbi.txt;65.168;chac1249
verses/cbv.txt;117.22;cacu1241
verses/ceb.txt;52.581;cebu1242
verses/ceg.txt;80.008;cham1315
verses/ces.txt;40.177;czec1258
verses/cfm.txt;55.529;fala1243
verses/cgc.txt;65.427;kaga1256
verses/cha.txt;57.927;cham1312
verses/chk.txt;58.166;chuu1238
verses/chq.txt;86.531;quio1240
verses/chr.txt;54.058;cher1273
verses/cjp.txt;63.928;cabe1245
verses/cko.txt;70.554;anuf1239
verses/cmo.txt;83.336;cent1992
verses/cnh.txt;58.185;haka1240
verses/cni.txt;68.296;asha1243
verses/coe.txt;104.248;kore1283
verses/cof.txt;68.039;colo1256
verses/cpc.txt;57.819;ajyi1238
verses/cpu.txt;58.604;pich1237
verses/crn.txt;126.578;elna1235
verses/cso.txt;123.014;soch1239
verses/csy.txt;55.277;siyi1240
verses/cta.txt;122.011;tata1258
verses/ctd.txt;57.588;tedi1235
verses/ctp.txt;107.13;west2644
verses/cub.txt;98.299;cube1242
verses/cuk.txt;72.904;sanb1242
verses/cul.txt;96.277;culi1244
verses/cya.txt;79.53;nopa1235
verses/cym.txt;49.281;wels1247
verses/dan.txt;38.194;dani1285
verses/des.txt;85.802;desa1247
verses/dgc.txt;58.542;casi1235
verses/dig.txt;48.065;digo1243
verses/dis.txt;50.282;dima1251
verses/djr.txt;149.792;djam1256
verses/dob.txt;67.952;dobu1241
verses/duo.txt;67.503;dupa1235
verses/dwr.txt;54.934;dawr1236
verses/dyu.txt;60.599;dyul1238
verses/emp.txt;77.195;nort2972
verses/eng.txt;37.522;stan1293
verses/enx.txt;88.08;sout2989
verses/ese.txt;108.395;esee1248
verses/esu.txt;51.519;cent2127
verses/ewe.txt;67.937;ewee1241
verses/fal.txt;54.719;sout2782
verses/fao.txt;47.586;faro1244
verses/ffm.txt;55.315;maas1239
verses/fij.txt;58.308;fiji1243
verses/fil.txt;46.359;fili1244
verses/fin.txt;37.811;finn1318
verses/fon.txt;87.347;fonn1241
verses/for.txt;62.007;fore1270
verses/fry.txt;46.987;west2354
verses/fuf.txt;59.636;pula1262
verses/fuv.txt;58.763;nige1253
verses/gag.txt;52.627;gaga1249
verses/gbi.txt;67.507;gale1259
verses/gde.txt;73.638;gude1246
verses/gdg.txt;54.812;gada1258
verses/gdn.txt;83.828;uman1240
verses/ghs.txt;57.815;guhu1244
verses/gid.txt;55.611;gida1247
verses/gil.txt;57.989;gilb1244
verses/gle.txt;45.635;iris1253
verses/gmv.txt;44.564;gamo1243
verses/gnb.txt;57.575;gang1266
verses/gnd.txt;99.562;zulg1242
verses/guc.txt;90.706;wayu1243
verses/guh.txt;107.764;guah1255
verses/gui.txt;63.031;east2555
verses/gum.txt;68.907;guam1248
verses/gun.txt;61.507;mbya1239
verses/guq.txt;61.414;ache1246
verses/gur.txt;64.972;fare1241
verses/gvc.txt;79.742;guan1269
verses/gvf.txt;58.752;goli1247
verses/gvn.txt;67.245;kuku1273
verses/gya.txt;77.324;nort2775
verses/gym.txt;85.589;ngab1239
verses/hak.txt;77.271;hakk1236
verses/hat.txt;53.072;hait1244
verses/hch.txt;64.124;huic1243
verses/heh.txt;49.144;hehe1240
verses/hil.txt;51.037;hili1240
verses/hix.txt;126.679;hixk1239
verses/hla.txt;62.526;hali1244
verses/hot.txt;66.413;hote1245
verses/hto.txt;81.547;mini1256
verses/hub.txt;60.538;huam1247
verses/hui.txt;60.896;huli1244
verses/hun.txt;42.045;hung1274
verses/hus.txt;74.303;huas1242
verses/huu.txt;73.37;muru1274
